,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,like
19,Britney Spears,Circus (Deluxe Version),Womanizer,4fixebDZAVToLbUCuEloa2,0.7240000000000001,0.695,11,-5.226,1,0.0622,0.0,0.0889,0.235,139.0,224400,4,True
20,David Guetta,Like I Do,Like I Do,6RnkFd8Fqqgk1Uni8RgqCQ,0.635,0.9,0,-3.719,0,0.0377,0.0145,0.37,0.15,127.978,202500,4,True
21,Shoreline Mafia,Party Pack. Vol 2,Wings,0MdSezTbC54SIPQkXrvHrp,0.927,0.607,4,-5.372000000000001,0,0.19,0.0,0.10400000000000001,0.364,101.999,144080,4,True
22,Pop Smoke,Meet The Woo 2 (Deluxe),Foreigner (feat. A Boogie Wit da Hoodie),7iBKCNKl5UjxfOgyxnQ6q6,0.484,0.5529999999999999,10,-7.914,0,0.353,0.0,0.276,0.598,103.772,161120,3,False
23,Annie Lennox,Nostalgia,I Put A Spell On You,3sesq9P6ndjuqaq5om7sxT,0.5670000000000001,0.366,2,-8.013,0,0.0359,1.23e-05,0.12,0.299,174.014,212047,3,False
24,The Beatles,Abbey Road (Remastered),Come Together - Remastered 2009,2EqlS6tkEnglzr7tkKAAYD,0.5329999999999999,0.376,9,-11.913,0,0.0393,0.248,0.0926,0.187,165.007,259947,4,False
25,Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,0.897,0.662,1,-6.903,0,0.292,0.0,0.534,0.389,112.51100000000001,145543,4,True
26,Beth Hart,Front And Center (Live From New York),Baddest Blues (Live),6VScpsJc6D4CabXHFJoKNm,0.336,0.21899999999999997,11,-15.55,0,0.0489,9.04e-06,0.711,0.161,169.285,309696,3,False
27,Edson Faiolli,Trying to Go Back,Trying to Go Back,2dIGFrv4mljwdyrszh4pjv,0.6409999999999999,0.706,8,-11.807,0,0.0333,0.000805,0.20600000000000002,0.40399999999999997,125.97399999999999,188948,4,True
28,Carly Pearce,Next Girl,Next Girl,4QpWhd7l2NrmGmfw4qGlpa,0.583,0.867,11,-4.17,1,0.0637,0.0,0.0863,0.9620000000000001,160.096,164678,4,False
29,Sueco the Child,fast (Remix) [feat. Offset & A Boogie Wit da Hoodie],fast (Remix) [feat. Offset & A Boogie Wit da Hoodie],2xKQj6P0TgxBVaRiojP2s2,0.821,0.684,7,-5.931,0,0.33299999999999996,1.58e-06,0.23399999999999999,0.7440000000000001,100.054,160063,4,True
30,Kodak Black,ZEZE (feat. Travis Scott & Offset),ZEZE (feat. Travis Scott & Offset),7l3E7lcozEodtVsSTCkcaA,0.861,0.637,8,-5.692,0,0.24,3.35e-06,0.0967,0.474,98.044,228654,4,True
31,Klaas,What Is Love 2K9,What Is Love - Cansis Remix Edit,5QPtn6Up1Au1Id53W4RH2k,0.711,0.99,5,-5.056,1,0.22399999999999998,0.000221,0.281,0.397,137.986,190547,4,True
32,SOB X RBE,GANGIN,Always,4CH18IBgxzC4uTeDXROLow,0.8170000000000001,0.664,1,-8.158,1,0.0576,0.0,0.0663,0.204,98.15299999999999,208222,4,True
33,blink-182,Dude Ranch,Dammit,6WkSUgo1VdpzgtiXKlFPcY,0.426,0.972,0,-5.122000000000001,1,0.0954,0.0,0.171,0.341,111.221,165373,4,False
34,Polo G,THE GOAT,Heartless (feat. Mustard),2iP3unJbxZvRuqyrS0ocZy,0.7759999999999999,0.64,7,-8.058,1,0.184,0.0,0.10099999999999999,0.326,160.03799999999998,204000,4,True
35,Florida Georgia Line,Long Live,Long Live,1OTX8FOeKJt1v9mIxuF8sc,0.612,0.8420000000000001,7,-3.5469999999999997,1,0.0372,0.0,0.151,0.596,129.97299999999998,152373,4,False
36,THE SCOTTS,THE SCOTTS,THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,0,-7.648,0,0.0514,0.0,0.157,0.28,129.97899999999998,165978,4,True
37,Noora Noor,Soul Deep,Dedication,4AT6qRIJrTEKJF4khL6ztT,0.39899999999999997,0.455,8,-9.849,0,0.19899999999999998,1.18e-05,0.0693,0.578,182.08,272507,3,False
38,Kane Brown,Cool Again,Cool Again,5P3oaNpPDVLRJsL3152SEs,0.608,0.735,4,-5.497000000000001,1,0.0371,1.69e-06,0.361,0.773,90.007,164668,4,False
39,Bob Dylan,Highway 61 Revisited,Like a Rolling Stone,3AhXZa8sUQht0UEdBJgpGc,0.483,0.721,0,-6.836,1,0.032,0.0,0.18899999999999997,0.562,95.26100000000001,369600,4,False
40,AzChike,Burn Rubber Again (Remix),Burn Rubber Again - Remix,10QngEY3ml2yPt54ZyyP7z,0.835,0.57,2,-9.479,0,0.109,4.75e-06,0.0784,0.377,99.964,169482,4,True
41,Jerome,Light,Light,5p5R0lCAfSQ8dXIHiCJxfF,0.36,0.89,8,-5.645,1,0.0383,0.252,0.146,0.0897,106.554,185916,3,True
42,Stevie Ray Vaughan,Texas Flood (Legacy Edition),Texas Flood,5MtN38MGEWJt60LwtBmFNP,0.256,0.423,6,-11.994000000000002,1,0.035,0.402,0.25,0.441,173.27,320907,3,False
43,Future,EVOL,Lil Haiti Baby,3IMZ6j3mlRQYsatEuzt0Y3,0.498,0.604,10,-5.197,0,0.243,0.0,0.22399999999999998,0.38,137.889,277387,4,True
44,blink-182,Take Off Your Pants And Jacket,Reckless Abandon,4N9fFHRxns1B86F8YTneBz,0.5,0.961,11,-3.92,1,0.0961,0.0,0.29600000000000004,0.515,124.898,186173,4,False
45,Excision,Apex,Home,0AuFxpp4TJyybt9vv5fUnQ,0.38,0.799,1,-2.4730000000000003,1,0.0604,1.05e-05,0.10099999999999999,0.18100000000000002,75.58800000000001,237417,4,True
46,Max Richter,"Recomposed By Max Richter: Vivaldi, The Four Seasons","Recomposed By Max Richter: Vivaldi, The Four Seasons: Spring 1",5xbuJuQsTVheVZvX2AJVIv,0.701,0.341,1,-12.26,0,0.0418,0.903,0.359,0.163,105.51299999999999,151507,3,False
47,Creedence Clearwater Revival,Pendulum (40th Anniversary Edition),Have You Ever Seen The Rain,2LawezPeJhN4AWuSB0GtAU,0.741,0.6970000000000001,0,-7.028,1,0.0277,2.2800000000000002e-05,0.133,0.774,116.109,160133,4,False
48,Sublime,Sublime Greatest Hits,Doin' Time,4mAqG6KNWZQiekSthr2QtL,0.711,0.7240000000000001,7,-5.97,1,0.0851,3.81e-06,0.141,0.48200000000000004,80.975,251120,4,False
49,Metal Church,Conductor (Redux),Conductor (Redux),6FPYB4S5wawOFERTxlVCA6,0.535,0.95,4,-2.93,0,0.053,2.6700000000000002e-05,0.349,0.599,104.62700000000001,249094,4,False
50,Marc Korn,Der Mann mit dem Koks,Der Mann mit dem Koks - Radio Edit,2Bf0lqt2k5z2chqqWIBHQk,0.598,0.862,4,-5.517,0,0.0597,0.009340000000000001,0.579,0.297,144.015,176667,4,True
51,Johann Sebastian Bach,J.S. Bach: Das Wohltemperierte Clavier,"Das Wohltemperierte Klavier: Book 2, BWV 870-893: Präludium f-Moll, BWV 881",7zv2BCCUu8bwd9fo9BA8IK,0.326,0.0436,5,-30.607,0,0.0407,0.9079999999999999,0.0997,0.45799999999999996,70.12100000000001,248293,4,False
52,Amon Amarth,Jomsviking,Raise Your Horns,5gNyrx8elXaXXs3vFC1ufZ,0.46,0.8759999999999999,5,-5.39,1,0.045,0.7979999999999999,0.151,0.499,164.99200000000002,263787,3,False
53,Lady Gaga,The Fame,Just Dance,2x7MyWybabEz6Y6wvHuwGE,0.8220000000000001,0.7390000000000001,1,-4.541,0,0.0311,4.26e-05,0.18100000000000002,0.745,118.992,241933,4,True
54,Nea,Some Say (Felix Jaehn Remix),Some Say - Felix Jaehn Remix,7C1trmcQQ5n5RNy4l6ziCv,0.682,0.7,6,-5.591,1,0.0397,0.0,0.174,0.637,120.03,186878,4,True
55,Steve Aoki,Neon Future IV (Remixes),Popcorn - GATTÜSO Remix,01cyz8ub1ZWbg4auDr0ekF,0.67,0.986,7,-0.9890000000000001,0,0.054000000000000006,0.251,0.207,0.215,128.004,206922,4,True
56,Berliner Philharmoniker,Herbert von Karajan - Adagio,"Suite No.3 In D, BWV 1068: 2. Air",7rIWt3zlh2ntF1XDzj3wee,0.124,0.0802,2,-25.99,1,0.045,0.932,0.16,0.0577,96.64399999999999,365000,4,False
57,Luther Johnson,They Call Me the Popcorn Man (France 1975) [Blues Reference],Lonesome In My Bedroom,4xu0LW34dFEoHG1x65tQPx,0.6759999999999999,0.249,0,-13.597999999999999,0,0.0349,0.0071200000000000005,0.128,0.48,79.828,385600,3,False
58,Sublime,Sublime (Explicit Version),Caress Me Down,0wWjWihr46S1gOB6KC2he3,0.755,0.48200000000000004,9,-7.5520000000000005,1,0.263,0.0,0.131,0.599,79.684,211733,4,False
59,Taio Cruz,TY.O (International Version),Hangover,5pmL3RzOy3IvGFaSDi4hZL,0.606,0.883,3,-3.2430000000000003,1,0.0423,0.0,0.0698,0.608,128.053,244907,4,True
60,Christian Willisohn,Boogie Woogie and Some Blues,Blues in My Bottle,2xcvt3rCMZVhPyONbFmsrp,0.451,0.1,5,-16.736,0,0.0505,0.0141,0.135,0.32,159.458,251000,3,False
61,MR.BLACK,Mucho Bien,Mucho Bien,1F6jVA2colNR0HM7Ud9riW,0.7040000000000001,0.693,3,-5.382000000000001,0,0.0298,2.46e-05,0.0799,0.473,124.046,183871,4,True
62,Paolo Ortelli,Rhythm Is A Dancer,Rhythm Is A Dancer,7F78HhB1sZvcMHdAKl3mn6,0.7859999999999999,0.905,9,-2.404,0,0.0522,0.0,0.204,0.736,130.003,214161,4,True
63,Papa Roach,Infest,Last Resort,0SjhCnjTT2bXD9RtU8bFT9,0.59,0.894,4,-3.661,0,0.0579,0.000661,0.26899999999999996,0.732,90.604,199893,4,False
64,Blueface,Famous Cryp,Thotiana,3oh6SCCeLuXhFpEyepla6G,0.9059999999999999,0.382,10,-12.89,0,0.26899999999999996,0.0,0.113,0.391,104.025,129264,4,True
65,Spencer Crandall,East,Things I Can't Say (feat. Julia Cole),3kdQfsfmWiLbPFrcdvhSYg,0.616,0.7979999999999999,8,-4.224,1,0.0481,0.0,0.114,0.9359999999999999,80.033,164955,4,False
66,Eric Prydz,Call On Me,Call On Me - Radio Edit,3uLSUZEmTY50H6Kw17lpfW,0.597,0.8370000000000001,10,-6.518,1,0.375,0.00114,0.8390000000000001,0.447,126.34200000000001,171360,4,True
67,TJ Porter,We Gon Ball,Intro,5vJ8zQzWuIdWX5sNV6ujdp,0.509,0.9079999999999999,9,-3.472,0,0.4,0.0,0.111,0.23600000000000002,89.932,117185,4,False
68,Blue Öyster Cult,Agents Of Fortune,(Don't Fear) The Reaper,5QTxFnGygVM4jFQiBovmRo,0.33299999999999996,0.927,9,-8.55,0,0.0733,0.00020800000000000001,0.297,0.385,141.466,308120,4,False
69,Future,DS2 (Deluxe),Commas,4aoo6M6VeimaKHd5XwElaK,0.878,0.561,11,-5.978,0,0.218,0.00023700000000000001,0.133,0.332,139.96200000000002,236748,4,True
70,Rising Steel,Mystic Voices,Mystic Voices,23qe3H5ToeXOfFj9gSSPrX,0.36,0.9570000000000001,8,-5.876,1,0.10099999999999999,0.125,0.40399999999999997,0.21600000000000003,163.957,305867,4,False
71,Sum 41,Chuck,Pieces,4D6k7r6H97vB0ErRTedQPK,0.452,0.8440000000000001,5,-5.2379999999999995,1,0.0342,0.0087,0.32,0.5489999999999999,99.92,181653,4,False
72,TJ Porter,Pregame,Tricky,6dX5y0Wa8W83qDBymeia8n,0.7929999999999999,0.606,1,-7.225,0,0.264,0.000217,0.12,0.48700000000000004,139.994,165160,4,False
73,Lil Skies,Real Ties,Real Ties,0Qd2KYCmwGYiTF3A0opS6b,0.8190000000000001,0.616,1,-5.534,1,0.16699999999999998,0.0,0.14300000000000002,0.524,87.493,142669,4,True
74,ILLENIUM,ASCEND,Sad Songs (& Said The Sky with Annika Wells),4pioeMejnqa4T3QAEqwVA3,0.532,0.5710000000000001,1,-6.291,1,0.040999999999999995,0.0,0.109,0.475,144.912,210423,4,True
75,Frédéric Chopin,Chopin: Études,"12 Etudes, Op.10: No.3 In E",6YDgMoJ8ssOuKjQ6jiz4Kk,0.392,0.0536,4,-23.399,1,0.0571,0.867,0.0808,0.0417,71.286,234467,4,False
76,Internet Money,Somebody,Somebody,735RSTb2xbtWbDtKD9XDYi,0.63,0.6709999999999999,6,-6.659,0,0.256,0.0,0.113,0.33299999999999996,89.921,174333,4,True
77,FiNCH ASOZiAL,Am richtigsten Saufen,Am richtigsten Saufen,5dguvX1mI0izMZhc1a12iK,0.7959999999999999,0.8240000000000001,9,-4.521,0,0.306,0.0,0.138,0.46799999999999997,105.186,138853,4,True
78,Excision,Virus,Drowning,5W2QbqmtfXiz7US9DCl48l,0.304,0.742,5,-2.261,0,0.0357,0.865,0.336,0.16699999999999998,139.958,229714,4,True
79,Marcapasos,"Girl, I Wanna (#90s Update Remix)","Girl, I Wanna - #90s Update Remix",7EzCgq5PgN6KcsazbKBSwV,0.74,0.76,10,-6.875,1,0.105,0.0,0.192,0.7120000000000001,101.04899999999999,222252,4,True
80,The Beatles,1 (Remastered),Yesterday - Remastered 2015,63uskN0xLezVg4281wzeQn,0.401,0.18899999999999997,0,-11.189,1,0.0287,0.0,0.0968,0.35700000000000004,94.509,125320,4,False
81,Cash Kidd,BeBe Kidd 2,Privileges,5Lkge8ZPF9LlrHcaRjO1HJ,0.7240000000000001,0.664,5,-9.437999999999999,0,0.387,0.0,0.21899999999999997,0.45,90.77799999999999,202136,4,True
82,Nightcrawlers,Push The Feeling On,Push The Feeling On - Mk Dub Revisited Edit,1EWsVHU4FNAdtN4R8FETag,0.7929999999999999,0.5,6,-13.107999999999999,0,0.0319,1.9600000000000002e-05,0.18600000000000003,0.833,123.01700000000001,243160,4,True
83,k?d,Lose Myself,Lose Myself,6rOhRpCeWjFirOXT1C9KS2,0.465,0.816,9,-3.3989999999999996,1,0.0926,3.63e-05,0.0891,0.34299999999999997,192.041,230246,4,True
84,Joe Walsh,You Can't Argue With A Sick Mind,Rocky Mountain Way,7GNf8GN66LzBmENFQWxBKb,0.325,0.674,11,-14.169,0,0.0397,0.172,0.917,0.696,83.18,460760,4,False
85,Led Zeppelin,Rock and Roll (Alternate Mix),Rock and Roll - Alternate Mix,45VtNXnnuYnr1DTU8VwpHo,0.341,0.9520000000000001,9,-7.045,1,0.0497,0.00318,0.0995,0.7140000000000001,169.925,219680,4,False
86,The Beach Boys,Good Vibrations 40th Anniversary,Good Vibrations - Remastered,2oF7FZHIJbzjeEXZ3D0Ku4,0.40299999999999997,0.495,10,-6.888,0,0.0312,8.03e-06,0.147,0.38,132.912,217747,4,False
87,NLE Choppa,Top Shotta,Walk Em Down (feat. Roddy Ricch),1Z0cZI0UzNbP9L8MzzGxqf,0.867,0.7440000000000001,2,-5.171,1,0.22699999999999998,0.0,0.0713,0.645,84.005,173288,4,True
88,The Red Jumpsuit Apparatus,Don't You Fake It,Face Down,4wzjNqjKAKDU82e8uMhzmr,0.545,0.932,7,-2.189,0,0.0399,0.0,0.127,0.46399999999999997,92.956,192000,4,False
89,John Adams,The John Adams Album,Short Ride in a Fast Machine,6Olyr6tQ7DKWPJro6nn35C,0.392,0.501,2,-12.513,1,0.146,0.909,0.442,0.113,152.481,246760,3,False
90,Mabel,Don't Call Me Up (Remixes),Don't Call Me Up - R3HAB Remix,0goj2jVaUvxQP2zsyt7Xol,0.752,0.812,6,-4.41,0,0.183,2.45e-05,0.0897,0.58,108.05,153333,4,True
91,Lil Baby,Drip Too Hard,Drip Too Hard,1BxkZE73h9BN3qwuA15TA3,0.9,0.653,1,-6.962000000000001,0,0.289,0.0,0.528,0.39899999999999997,112.50299999999999,145603,4,True
92,Jacob Tillberg,Shape of You,Shape of You,5hmgIOkzo1ivObjZHpP7w9,0.784,0.6579999999999999,1,-6.681,0,0.0545,7.65e-06,0.0801,0.88,95.98200000000001,217519,4,True
93,Dire Straits,On Every Street (Remaster),You and Your Friend,7LXxMApcyuh5A3sod0nV5s,0.562,0.284,0,-12.978,0,0.0273,0.807,0.222,0.21899999999999997,87.25,359333,4,False
94,Cream,Wheels Of Fire (Remastered),White Room,5X76oXHcR5uCXali0gOyX5,0.55,0.5760000000000001,0,-13.475,1,0.0306,0.00935,0.0555,0.486,109.837,303200,4,False
95,Lil Wayne,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",4dASQiO1Eoo3RJvt74FtXB,0.502,0.7859999999999999,9,-4.378,0,0.317,0.0,0.65,0.7390000000000001,169.021,243491,4,True
96,Papa Roach,Getting Away With Murder,Scars,07pCWKYKy73p19uNorkha5,0.44799999999999995,0.925,11,-3.2910000000000004,1,0.0506,0.0,0.221,0.46799999999999997,89.853,208199,4,False
97,Tenside,Glamour & Gloom,Along with the Gods,3KBczoPL3ICgxfb44aCx3a,0.37799999999999995,0.973,1,-4.6930000000000005,1,0.0835,0.142,0.424,0.614,193.97099999999998,213000,4,False
98,Sum 41,"All Killer, No Filler",Fat Lip,4KacUpvbA3Mfo05gttTjhN,0.402,0.914,9,-5.215,1,0.142,0.0,0.065,0.626,196.505,178267,4,False
99,Rucci,Tako's Son,Get the Strap (feat. Shoreline Mafia),0fB2bhPipFZNJP9Ft0DXSk,0.7440000000000001,0.516,1,-10.325999999999999,1,0.746,1.74e-05,0.11800000000000001,0.29600000000000004,203.986,178823,4,True
100,Nea,Some Say (Felix Jaehn Remix),Some Say - Felix Jaehn Remix,7C1trmcQQ5n5RNy4l6ziCv,0.682,0.7,6,-5.591,1,0.0397,0.0,0.174,0.637,120.03,186878,4,True
101,Flo Rida,Only One Flo (Part 1),Club Can't Handle Me (feat. David Guetta),6ebkx7Q5tTxrCxKq4GYj0Y,0.616,0.8690000000000001,0,-3.911,1,0.0327,0.0,0.064,0.473,127.96600000000001,234560,4,True
102,Grateful Dead,Workingman's Dead,Casey Jones - 2013 Remaster,7LbfuQVct78YoghmoPtsQ8,0.6709999999999999,0.405,0,-10.052,1,0.0392,0.0,0.132,0.828,99.678,265067,4,False
103,David Guetta,7,Let It Be Me (feat. Ava Max),2F83FxNVkK6PPMHuYnwyVc,0.743,0.529,7,-6.187,0,0.0505,0.0,0.18100000000000002,0.43799999999999994,102.04799999999999,172933,4,True
104,Love Harder,Oblivion,Oblivion,4sjs502JILjXEv7Xtf1h5q,0.9159999999999999,0.413,6,-7.521,1,0.065,1.12e-05,0.0994,0.409,125.994,192296,4,True
105,Fleetwood Mac,Tango In The Night,Everywhere,6i8ecOsx4J2Px1maiqzqoG,0.69,0.54,4,-10.515999999999998,1,0.0317,0.00657,0.115,0.764,114.846,222733,4,False
106,The Righteous Brothers,You've Lost That Lovin' Feelin',You've Lost That Lovin' Feelin' - Single Version,3no0tiiQldD3LnsxwVtnnk,0.35700000000000004,0.389,1,-9.702,1,0.0269,0.0,0.099,0.324,94.211,224000,4,False
107,Kasbo,Places We Don't Know,Places We Don't Know,3JrMXGfyYUlBNKrHe99Csy,0.514,0.733,2,-6.056,1,0.0332,0.244,0.37,0.0977,114.978,204533,4,True
108,Berliner Philharmoniker,Herbert von Karajan - Adagio,"Valse triste, Op.44",6SAZljHhCrFcqtVe1AQ0ED,0.172,0.0108,7,-27.061,1,0.0399,0.927,0.257,0.0988,114.762,368000,3,False
109,blink-182,Enema Of The State,What's My Age Again?,5JZcX7TTLx4l0xFIXJ3DBt,0.40299999999999997,0.956,6,-7.376,1,0.0732,7.09e-05,0.0893,0.561,157.70600000000002,148573,4,False
110,Tyga,FREAK,FREAK,0HIj0uo7zaFIpkzUIkDlmL,0.9329999999999999,0.556,9,-6.115,1,0.21600000000000003,0.0,0.114,0.504,106.01,174067,4,True
111,H.E.A.T,Dangerous Ground,Dangerous Ground,0eeH8SFeeaIv0lQz61cyL2,0.439,0.975,1,-3.798,1,0.131,8.590000000000001e-05,0.228,0.636,172.019,246827,4,False
112,Indy,On a Roll,On a Roll,7mTkUSXs9eHEu3Ghy1G5Oh,0.682,0.742,9,-4.6739999999999995,1,0.341,0.0,0.127,0.449,160.143,192566,4,True
113,The Kingsmen,The Best of The Kingsmen,Louie Louie,0iA3xXSkSCiJywKyo1UKjQ,0.623,0.7090000000000001,1,-9.818,0,0.0636,0.0,0.0967,0.948,122.39399999999999,165381,4,False
114,Pop Smoke,Shoot For The Stars Aim For The Moon,The Woo (feat. 50 Cent & Roddy Ricch),1H7KnK26kc1YyellpbINEn,0.49,0.618,1,-5.655,1,0.10400000000000001,3.77e-06,0.259,0.28600000000000003,99.7,201600,4,False
115,Demons & Wizards,Diabolic,Diabolic,3QmT40QBlxr4n5AxhOSxkf,0.28300000000000003,0.9440000000000001,11,-7.202000000000001,0,0.18,0.23399999999999999,0.10099999999999999,0.0681,147.989,481125,4,False
116,The Rolling Stones,Sticky Fingers (Remastered),Wild Horses - 2009 Mix,52dm9op3rbfAkc1LGXgipW,0.43200000000000005,0.389,7,-6.517,1,0.0255,0.0107,0.0788,0.158,139.506,341773,4,False
117,Benjamin Grosvenor,"Benjamin Grosvenor: Chopin, Liszt, Ravel","Nocturne No. 19 in E Minor, Op. 72, No. 1",64LTn5fTsPR0QLy7bVYl9w,0.33399999999999996,0.00732,4,-30.908,0,0.0355,0.9520000000000001,0.0968,0.0964,60.17100000000001,241987,4,False
118,Grateful Dead,American Beauty (2013 Remaster),Sugar Magnolia - 2013 Remaster,2EB1aFLWC4uIfld5Z3Yj1z,0.598,0.516,1,-12.487,0,0.0413,1.32e-06,0.0816,0.6709999999999999,154.446,199399,4,False
119,Helloween,Straight out of Hell (Remastered 2020),Waiting For the Thunder - Remastered 2020,5XacDuEUZ40blaEX7e3vJ7,0.419,0.899,3,-7.653,0,0.0667,0.0,0.201,0.315,141.74,235213,4,False
120,Various Artists,Classics for Creativity,Deux Arabesques L. 66: No. 1 Andante con moto,3z3nJD2LEW3yFMaEjjGerZ,0.284,0.0189,4,-26.936,1,0.0353,0.909,0.0769,0.0575,72.90100000000001,237000,4,False
121,Calboy,Long Live The Kings (Deluxe Edition),Givenchy Kickin (feat. Lil Baby & Lil Tjay),76ddBfW2NeAu33mfRuMsdP,0.79,0.674,8,-5.507000000000001,0,0.0673,0.0,0.149,0.248,142.05200000000002,227027,4,False
122,Kenny Chesney,Here And Now,Happy Does,2v08cjj3Th8RpfJgluECcj,0.715,0.665,6,-5.486000000000001,1,0.0381,0.0,0.12300000000000001,0.593,109.01899999999999,168733,4,False
123,Kansas,Point Of Know Return (Expanded Edition),Dust in the Wind,6zeE5tKyr8Nu882DQhhSQI,0.475,0.322,7,-10.687000000000001,1,0.0283,0.00056,0.11,0.387,93.50299999999999,206267,4,False
124,Allman Brothers Band,The Allman Brothers Band (Deluxe),It's Not My Cross To Bear,5YZyXcUMthPEKipUUBzH5W,0.336,0.41100000000000003,4,-13.638,1,0.0406,0.00365,0.22399999999999998,0.34,129.725,303521,3,False
125,Nicola Fasano,I Like to Move it (Radio Mix),I Like to Move it - Radio Mix,0MjeQ5T5E50q0d3i72854N,0.72,0.929,0,-3.8789999999999996,0,0.0447,0.006809999999999999,0.0935,0.623,127.985,158501,4,True
126,De-Grees,Just Dance / Circle in the Sand,Just Dance - Ti-Mo vs. Stefan Rio Remix Edit,5dXnGGt6bl7nUaOPLFV7QF,0.64,0.9940000000000001,1,-4.646,0,0.0349,0.00107,0.39799999999999996,0.7929999999999999,142.002,191018,4,True
